year,model,carrier,tailnum,manufacturer,origin,sum(distance)
2013,737-924ER,UA,N69806,BOEING,EWR,1605
2013,737-924ER,UA,N38473,BOEING,EWR,9585
2013,737-924ER,UA,N37465,BOEING,EWR,997
2013,737-924ER,UA,N36476,BOEING,EWR,6681
2013,737-924ER,UA,N37468,BOEING,EWR,1167
2013,737-924ER,UA,N68801,BOEING,EWR,2133
2013,737-924ER,UA,N38473,BOEING,EWR,2991
2013,A321-211,US,N150UW,AIRBUS,EWR,14283
2013,737-924ER,UA,N38473,BOEING,EWR,1068
2013,737-924ER,UA,N28478,BOEING,EWR,1504
2013,737-924ER,UA,N66808,BOEING,EWR,2425
2013,737-924ER,UA,N37474,BOEING,EWR,5325
2013,737-924ER,UA,N37468,BOEING,EWR,9370
2013,737-924ER,UA,N68801,BOEING,EWR,1023
2013,737-924ER,UA,N27477,BOEING,EWR,2811
2013,737-924ER,UA,N37471,BOEING,EWR,14412
2013,737-924ER,UA,N66803,BOEING,EWR,2800
2013,737-924ER,UA,N36469,BOEING,EWR,3204
2013,737-924ER,UA,N36476,BOEING,EWR,9700
2013,737-924ER,UA,N27477,BOEING,EWR,1085
2013,737-924ER,UA,N37468,BOEING,EWR,2170
2013,737-924ER,UA,N37471,BOEING,EWR,1438
2013,737-924ER,UA,N69804,BOEING,EWR,4266
2013,737-924ER,UA,N37465,BOEING,EWR,1585
2013,737-924ER,UA,N38467,BOEING,EWR,9700
2013,737-924ER,UA,N37465,BOEING,EWR,48735
2013,737-924ER,UA,N68802,BOEING,EWR,4908
2013,737-924ER,UA,N39475,BOEING,EWR,11135
2013,737-924ER,UA,N37466,BOEING,EWR,4868
2013,737-924ER,UA,N68801,BOEING,EWR,404
2013,737-924ER,UA,N36469,BOEING,EWR,46170
2013,737-924ER,UA,N64809,BOEING,EWR,5130
2013,737-924ER,UA,N38473,BOEING,EWR,2434
2013,737-924ER,UA,N39475,BOEING,EWR,4985
2013,737-924ER,UA,N68801,BOEING,EWR,1400
2013,737-924ER,UA,N68801,BOEING,EWR,2170
2013,737-924ER,UA,N37466,BOEING,EWR,5600
2013,737-924ER,UA,N37466,BOEING,EWR,4815
2013,737-924ER,UA,N28478,BOEING,EWR,1068
2013,737-924ER,UA,N27477,BOEING,EWR,1994
2013,737-924ER,UA,N36469,BOEING,EWR,8040
2013,737-924ER,UA,N36472,BOEING,EWR,9648
2013,737-924ER,UA,N68801,BOEING,EWR,3210
2013,737-924ER,UA,N36469,BOEING,EWR,200
2013,737-924ER,UA,N36469,BOEING,EWR,746
2013,737-924ER,UA,N27477,BOEING,EWR,2227
2013,737-924ER,UA,N69806,BOEING,EWR,1023
2013,737-924ER,UA,N38467,BOEING,EWR,8532
2013,737-924ER,UA,N28478,BOEING,EWR,15589
2013,737-924ER,UA,N68807,BOEING,EWR,2130
2013,737-924ER,UA,N37474,BOEING,EWR,14724
2013,737-924ER,UA,N38473,BOEING,EWR,7275
2013,737-924ER,UA,N37465,BOEING,EWR,3195
2013,737-924ER,UA,N37465,BOEING,EWR,12010
2013,737-924ER,UA,N37468,BOEING,EWR,5325
2013,737-924ER,UA,N28478,BOEING,EWR,1023
2013,737-924ER,UA,N36472,BOEING,EWR,5425
2013,737-924ER,UA,N69804,BOEING,EWR,1085
2013,737-924ER,UA,N37471,BOEING,EWR,1200
2013,737-924ER,UA,N37468,BOEING,EWR,1200
2013,737-924ER,UA,N66803,BOEING,EWR,4908
2013,737-924ER,UA,N37470,BOEING,EWR,41040
2013,"ERJ 190-100 IGW",B6,N354JB,EMBRAER,EWR,1874
2013,"ERJ 190-100 IGW",B6,N373JB,EMBRAER,EWR,6600
2013,737-924ER,UA,N38473,BOEING,EWR,3210
2013,737-924ER,UA,N37468,BOEING,EWR,33345
2013,737-924ER,UA,N36469,BOEING,EWR,5115
2013,737-924ER,UA,N36476,BOEING,EWR,2157
2013,CL-600-2D24,9E,N299PQ,"BOMBARDIER INC",EWR,1008
2013,737-924ER,UA,N68802,BOEING,EWR,8400
2013,A321-211,US,N155UW,AIRBUS,EWR,11109
2013,737-924ER,UA,N37471,BOEING,EWR,2136
2013,737-924ER,UA,N37470,BOEING,EWR,937
2013,737-924ER,UA,N68801,BOEING,EWR,2227
2013,737-924ER,UA,N38467,BOEING,EWR,1616
2013,737-924ER,UA,N37465,BOEING,EWR,2434
2013,737-924ER,UA,N39475,BOEING,EWR,1167
2013,737-924ER,UA,N37471,BOEING,EWR,22086
2013,737-924ER,UA,N37465,BOEING,EWR,600
2013,737-924ER,UA,N36469,BOEING,EWR,1994
2013,737-924ER,UA,N36472,BOEING,EWR,2157
2013,737-990ER,AS,N442AS,BOEING,EWR,12010
2013,A320-232,B6,N827JB,AIRBUS,EWR,1608
2013,737-924ER,UA,N37471,BOEING,EWR,8532
2013,737-924ER,UA,N37470,BOEING,EWR,4266
2013,737-924ER,UA,N36472,BOEING,EWR,8400
2013,737-924ER,UA,N68805,BOEING,EWR,2565
2013,737-924ER,UA,N68801,BOEING,EWR,10260
2013,737-924ER,UA,N68805,BOEING,EWR,12270
2013,737-924ER,UA,N37465,BOEING,EWR,2876
2013,737-924ER,UA,N37471,BOEING,EWR,7496
2013,737-924ER,UA,N69804,BOEING,EWR,14000
2013,737-924ER,UA,N38467,BOEING,EWR,1605
2013,737-924ER,UA,N36472,BOEING,EWR,2811
2013,737-924ER,UA,N38467,BOEING,EWR,4260
2013,A320-232,B6,N828JB,AIRBUS,EWR,2130
2013,737-924ER,UA,N37465,BOEING,EWR,12125
2013,737-924ER,UA,N36469,BOEING,EWR,9630
2013,737-924ER,UA,N36469,BOEING,EWR,14000
2013,737-924ER,UA,N38473,BOEING,EWR,13362
2013,737-924ER,UA,N37466,BOEING,EWR,48735
2013,737-924ER,UA,N37470,BOEING,EWR,1438
2013,737-924ER,UA,N38467,BOEING,EWR,30780
2013,737-924ER,UA,N37465,BOEING,EWR,14000
2013,737-924ER,UA,N39475,BOEING,EWR,2157
2013,737-990ER,AS,N423AS,BOEING,EWR,69658
2013,737-924ER,UA,N39475,BOEING,EWR,600
2013,737-924ER,UA,N66808,BOEING,EWR,2227
2013,CL-600-2D24,9E,N295PQ,"BOMBARDIER INC",EWR,6048
2013,737-924ER,UA,N36472,BOEING,EWR,8025
2013,737-924ER,UA,N37474,BOEING,EWR,2170
2013,737-924ER,UA,N37465,BOEING,EWR,7595
2013,737-924ER,UA,N36476,BOEING,EWR,7362
2013,737-924ER,UA,N37474,BOEING,EWR,8040
2013,737-924ER,UA,N37466,BOEING,EWR,11256
2013,737-924ER,UA,N69804,BOEING,EWR,4260
2013,737-924ER,UA,N39475,BOEING,EWR,6390
2013,A321-211,US,N153UW,AIRBUS,EWR,10580
2013,CL-600-2D24,9E,N293PQ,"BOMBARDIER INC",EWR,2016
